iter	Logloss
194	0.2765398077
195	0.2758259133
196	0.2751263562
197	0.2751218804
198	0.2748157092
199	0.2748147774
200	0.2745389134
201	0.2742228476
202	0.2736150596
203	0.273557987
204	0.2735431967
205	0.2734900981
206	0.2731791742
207	0.2727764696
208	0.2727099597
209	0.2724987471
210	0.272282557
211	0.2717270096
212	0.2715923719
213	0.2709411837
214	0.2706804039
215	0.2706757828
216	0.2705418052
217	0.270278764
218	0.2701102672
219	0.2697059435
220	0.2696483855
221	0.2696474014
222	0.2691919043
223	0.2691909582
224	0.2690762366
225	0.2685121172
226	0.2684923154
227	0.2684914131
228	0.2684366795
229	0.2681751772
230	0.2681589402
231	0.2677636481
232	0.2676073213
233	0.2674167061
234	0.2665995841
235	0.2665299776
236	0.2663215702
237	0.265823182
238	0.2657380537
239	0.2654841568
240	0.2651849619
241	0.2650138512
242	0.2642489747
243	0.2639864522
244	0.2629366053
245	0.2625048169
246	0.2622108011
247	0.26181893
248	0.2616137685
249	0.2613831227
250	0.2610151206
251	0.2610138176
252	0.2602727391
253	0.2600582647
254	0.2598938098
255	0.2598123283
256	0.2592621581
257	0.2590033604
258	0.2586689692
259	0.258596721
260	0.2584437112
261	0.2581835008
262	0.2579993188
263	0.2573792755
264	0.2573413563
265	0.2569489749
266	0.2567040289
267	0.2561684264
268	0.255805562
269	0.2555656357
270	0.2548214825
271	0.2545592716
272	0.254353285
273	0.2542186261
274	0.2540757889
275	0.2536011674
276	0.2532207545
277	0.2527748873
278	0.2524625561
279	0.2520064718
280	0.251479333
281	0.2512570798
282	0.2509167168
283	0.250804896
284	0.250414972
285	0.2502818739
286	0.249842566
287	0.2493235462
288	0.2490605943
289	0.2484895848
290	0.2483260742
291	0.2479740859
292	0.247582342
293	0.2474674657
294	0.2472051754
295	0.2469343093
296	0.2465387396
297	0.2460612691
298	0.2456409516
299	0.2451667532
300	0.2449721866
301	0.2445808314
302	0.2440151477
303	0.2437904581
304	0.2431949068
305	0.2430587368
306	0.242594046
307	0.2424515327
308	0.2420527781
309	0.2416177503
310	0.2410424315
311	0.2408322127
312	0.2405366759
313	0.2401791317
314	0.2398838287
315	0.239792587
316	0.2394246322
317	0.2389887274
318	0.2389736777
319	0.2386429344
320	0.2383647913
321	0.2376727047
322	0.2374200833
323	0.2373503659
324	0.2371938974
325	0.2369755651
326	0.2368247124
327	0.2362414108
328	0.2358640065
329	0.2355786975
330	0.2354680473
331	0.2351139708
332	0.2348759948
333	0.2346370107
334	0.2345067349
335	0.2343536685
336	0.2339252607
337	0.2337451352
338	0.2336296757
339	0.2334639829
340	0.2331732423
341	0.2326151438
342	0.2320676239
343	0.2317534545
344	0.2315429219
345	0.2310315138
346	0.2303014389
347	0.2299815012
348	0.2298144076
349	0.2290949658
350	0.2289858384
351	0.2287748377
352	0.228367768
353	0.2280410475
354	0.2279528784
355	0.2276522221
356	0.2272281516
357	0.2268775774
358	0.2266792004
359	0.2266214974
360	0.2263770445
361	0.2260722151
362	0.2258948172
363	0.225600326
364	0.2255029842
365	0.2252424112
366	0.224679071
367	0.2243290103
368	0.2240759249
369	0.2239856996
370	0.2234911176
371	0.2232784421
372	0.2231687652
373	0.2230515709
374	0.222880253
375	0.2226242839
376	0.2223820614
377	0.2220146156
378	0.2217114685
379	0.2214433079
380	0.2207334155
381	0.2202854676
382	0.2197812931
383	0.2196009909
384	0.218847813
385	0.2186747738
386	0.2181816954
387	0.2178927982
388	0.2174874119
389	0.217280697
390	0.2170369152
391	0.2165998744
392	0.2164301969
393	0.2160545637
394	0.2155172469
395	0.2153065255
396	0.2152189476
397	0.2148960811
398	0.2147785361
399	0.2145953129
400	0.2144761973
401	0.2142931205
402	0.2141911367
403	0.2139965906
404	0.2139242343
405	0.213595092
406	0.2133490221
407	0.2128590396
408	0.2127032926
409	0.2124825733
410	0.2123732099
411	0.2122441228
412	0.2117921031
413	0.2113787837
414	0.2111161621
415	0.2110359491
416	0.2107458237
417	0.2106218006
418	0.2102320242
419	0.2098009049
420	0.2093782288
421	0.2092804028
422	0.209186063
423	0.2090668845
424	0.2086929015
425	0.2083917255
426	0.2081899317
427	0.2077523484
428	0.2075417068
429	0.2071259641
430	0.2067614969
431	0.2066809686
432	0.2064658386
433	0.2062702989
434	0.2059497184
435	0.2056498716
436	0.2054983068
437	0.2053486297
438	0.2052533435
439	0.2050250332
440	0.204840207
441	0.2044522308
442	0.2042683151
443	0.2041456258
444	0.2040550384
445	0.2037925108
446	0.2037209262
447	0.20349545
448	0.2033791864
449	0.2029767207
450	0.2025518043
451	0.202194448
452	0.2017885504
453	0.2013004256
454	0.201184607
455	0.2006140065
456	0.2004612031
457	0.1998640076
458	0.1997246932
459	0.1995205174
460	0.1993217721
461	0.1991136436
462	0.1989149391
463	0.1988174632
464	0.1986471365
465	0.1984723063
466	0.1983272909
467	0.1979500517
468	0.197723051
469	0.1974766731
470	0.1970210958
471	0.1966563528
472	0.1965882093
473	0.1964116703
474	0.1962346642
475	0.1957086654
476	0.1955483271
477	0.1952102079
478	0.1950815689
479	0.1948898454
480	0.1943898218
481	0.1942713244
482	0.1939609379
483	0.1938569744
484	0.1937582906
485	0.1935440841
486	0.1935303584
487	0.1933464613
488	0.1931793726
489	0.1929304128
490	0.1925888123
491	0.1921014554
492	0.1918752191
493	0.1916030343
494	0.1915088859
495	0.1914356128
496	0.1913377975
497	0.1911492822
498	0.1909213351
499	0.1907144232
500	0.1906737105
501	0.1905822215
502	0.1902695613
503	0.1900064154
504	0.189661514
505	0.1892413621
506	0.1890409913
507	0.1887541258
508	0.1885783349
509	0.1884869683
510	0.1881703845
511	0.1879843106
512	0.1876846383
513	0.1872212012
514	0.1870284406
515	0.1869617888
516	0.1867472227
517	0.1864767188
518	0.186346505
519	0.1862753491
520	0.1859589204
521	0.1859052383
522	0.1858084572
523	0.1855234854
524	0.1850751403
525	0.1845295051
526	0.1843197395
527	0.1840551825
528	0.183973868
529	0.1835504483
530	0.183369608
531	0.1832421481
532	0.1831543476
533	0.1830862198
534	0.1829188718
535	0.1827106107
536	0.1825565763
537	0.1824849984
538	0.1823558739
539	0.1822733708
540	0.182084461
541	0.1820302437
542	0.1816215401
543	0.1813395156
544	0.1812802835
545	0.1811541355
546	0.1809386008
547	0.1807547624
548	0.1805297672
549	0.1800755308
550	0.1799895325
551	0.1799269781
552	0.1795332827
553	0.1792254986
554	0.1791576685
555	0.1790968961
556	0.178879983
557	0.178833223
558	0.1782592906
559	0.1781034024
560	0.1779768445
561	0.1779276446
562	0.1776313102
563	0.1774836754
564	0.177293091
565	0.1770721745
566	0.176758643
567	0.1764293439
568	0.1763886748
569	0.176133095
570	0.1759082397
571	0.1758333225
572	0.1757645814
573	0.1755668153
574	0.1753183892
575	0.1752868867
576	0.1752358315
577	0.1749533153
578	0.1748167471
579	0.1744841944
580	0.1741596184
581	0.1739990292
582	0.1738030972
583	0.173608461
584	0.173454914
585	0.1733629152
586	0.1732885416
587	0.1730211501
588	0.1726338224
589	0.1725166048
590	0.1722085718
591	0.1718705687
592	0.1716664465
593	0.171280006
594	0.1710531967
595	0.1709296143
596	0.1707604485
597	0.1707024469
598	0.1703440217
599	0.1698586076
600	0.1698190551
601	0.1696545695
602	0.169611842
603	0.1695487167
604	0.1693887374
605	0.169277788
606	0.1690721061
607	0.1690078741
608	0.1688405919
609	0.1687345694
610	0.1684336455
611	0.1682448496
612	0.1679476223
613	0.1676406159
614	0.1674135503
615	0.1673866501
616	0.1671016997
617	0.1669126951
618	0.166761011
619	0.1667146861
620	0.1664662095
621	0.1664276665
622	0.1663939578
623	0.1661430212
624	0.165977699
625	0.1657230029
626	0.1656674167
627	0.1655339917
628	0.1654739713
629	0.1653356973
630	0.1652713848
631	0.1652179413
632	0.1649444344
633	0.1647822519
634	0.1645970641
635	0.1643548847
636	0.1640776712
637	0.1639588658
638	0.163798676
639	0.1637259979
640	0.1636645957
641	0.1635968068
642	0.1634186378
643	0.1631996958
644	0.1631365698
645	0.1630792727
646	0.1629927661
647	0.162950393
648	0.1628961404
649	0.1628218711
650	0.1626200434
651	0.1623848203
652	0.1622327993
653	0.1621516474
654	0.1620322646
655	0.1619575171
656	0.1618316415
657	0.1615450513
658	0.1614279613
659	0.1613808571
660	0.161198079
661	0.1611443128
662	0.1608391402
663	0.1607020171
664	0.1604522176
665	0.1600522833
666	0.1600098298
667	0.1596652931
668	0.1595475464
669	0.1594814276
670	0.1593161715
671	0.1590970005
672	0.1590493911
673	0.1588821092
674	0.1587258668
675	0.1582773859
676	0.1582274503
677	0.1581010778
678	0.1578288177
679	0.1577609524
680	0.1576831187
681	0.1574367667
682	0.1571718552
683	0.1570579132
684	0.1566477847
685	0.1563835005
686	0.1563192309
687	0.15619233
688	0.1559580731
689	0.1554839453
690	0.1552781111
691	0.1551689599
692	0.1549554144
693	0.154796453
694	0.15475838
695	0.1544077842
696	0.154347393
697	0.1541581888
698	0.1538302956
699	0.1537348545
700	0.1536907562
701	0.1535850529
702	0.1531858486
703	0.1531213285
704	0.15308127
705	0.1529012057
706	0.1527891851
707	0.1526887696
708	0.1525903734
709	0.1523961629
710	0.1523302798
711	0.1520953087
712	0.1517820302
713	0.1514442295
714	0.1513103987
715	0.1512562338
716	0.1512208661
717	0.1510950215
718	0.1509103971
719	0.1508407744
720	0.1507894504
721	0.1505011812
722	0.1503366796
723	0.1500195077
724	0.1496621078
725	0.1496261382
726	0.1495639406
727	0.1493590127
728	0.1493283764
729	0.1491183651
730	0.1490294671
731	0.1488702958
732	0.1487975118
733	0.1486128299
734	0.1482611038
735	0.1482304187
736	0.1480322676
737	0.1477719519
738	0.1477432863
739	0.1476859154
740	0.1474404113
741	0.1473718469
742	0.1467957226
743	0.1466337157
744	0.1464930716
745	0.1463397891
746	0.1462666197
747	0.1462075603
748	0.1461508415
749	0.1460544672
750	0.1459839175
751	0.1457023235
752	0.1452090606
753	0.1449793292
754	0.1449294506
755	0.1448804907
756	0.14470366
757	0.1446436489
758	0.1445162391
759	0.1442842357
760	0.1442246704
761	0.1441083586
762	0.1439828158
763	0.1438555594
764	0.1438117485
765	0.143787167
766	0.1436442266
767	0.1432908009
768	0.1432476183
769	0.1431122796
770	0.1428960872
771	0.1426701233
772	0.1426227411
773	0.1425518835
774	0.142111131
775	0.1420795551
776	0.1420373615
777	0.1419472566
778	0.1418630872
779	0.1418441323
780	0.1417180377
781	0.1415765381
782	0.1413580246
783	0.1412408669
784	0.1410870863
785	0.140995203
786	0.1409109558
787	0.1408016539
788	0.1406227155
789	0.1405881897
790	0.1404849541
791	0.1403405289
792	0.1400366363
793	0.1399923224
794	0.1399288809
795	0.139684575
796	0.1394524448
797	0.1393716519
798	0.1392804086
799	0.1392473485
800	0.1391615566
801	0.1390773733
802	0.1389972772
803	0.1389238319
804	0.138697955
805	0.1385605233
806	0.138495341
807	0.1384536858
808	0.1383097961
809	0.1381950264
810	0.1380082408
811	0.1377892283
812	0.1376002734
813	0.1374979872
814	0.1373542183
815	0.1372701019
816	0.1371730727
817	0.1368912971
818	0.1368634088
819	0.1368089877
820	0.136577496
821	0.136450228
822	0.1363001485
823	0.1361415583
824	0.1360886567
825	0.1360148425
826	0.1359670901
827	0.1355577558
828	0.1355405208
829	0.1354346108
830	0.1352957673
831	0.1352182778
832	0.135148438
833	0.1348975086
834	0.1346397692
835	0.1345481855
836	0.1344839779
837	0.1344270293
838	0.133968922
839	0.1338814816
840	0.1338426683
841	0.133839923
842	0.1336716309
843	0.1336395933
844	0.1334768652
845	0.1334030487
846	0.1333838771
847	0.1331890897
848	0.1330971162
849	0.1330440275
850	0.1328833225
851	0.132731247
852	0.1326533471
853	0.1326292158
854	0.132552803
855	0.1323745306
856	0.1321123534
857	0.1320024063
858	0.1318644036
859	0.1317349821
860	0.1317147528
861	0.1316203558
862	0.1315619569
863	0.1314722841
864	0.1313927956
865	0.1312755666
866	0.1312434157
867	0.1311377749
868	0.1310605221
869	0.130946074
870	0.1309120873
871	0.1308045555
872	0.1307714971
873	0.1306456674
874	0.1304588407
875	0.1304325154
876	0.1304088968
877	0.1303576741
878	0.1302115783
879	0.1299316167
880	0.1297739948
881	0.1295951932
882	0.129570785
883	0.1294259826
884	0.1293932402
885	0.1292295063
886	0.1291632985
887	0.1290662098
888	0.1290242915
889	0.1289035072
890	0.1283896227
891	0.128218129
892	0.1280920107
893	0.12787161
894	0.1276174454
895	0.1275829626
896	0.1274301943
897	0.1273605282
898	0.1271958327
899	0.1271715464
900	0.127070043
901	0.1268632497
902	0.1267009633
903	0.1266435611
904	0.126410243
905	0.1262206845
906	0.1261565207
907	0.1261161456
908	0.1260992215
909	0.1259418473
910	0.1258801805
911	0.1257918398
912	0.125627881
913	0.1254854241
914	0.1254683304
915	0.1253810988
916	0.1253068183
917	0.1253050617
918	0.1251762207
919	0.1250268901
920	0.1247553729
921	0.124684708
922	0.124545507
923	0.1244138195
924	0.1241850759
925	0.1240677902
926	0.1238792247
927	0.1235505765
928	0.1234783641
929	0.1233392298
930	0.1231927514
931	0.123109807
932	0.1229551983
933	0.1229282454
934	0.1227885144
935	0.1227234409
936	0.1225758121
937	0.1222823436
938	0.1221935432
939	0.1218853175
940	0.1218249936
941	0.1217563837
942	0.1217337034
943	0.1215115647
944	0.1213924302
945	0.1211094733
946	0.1209241073
947	0.1208428237
948	0.1207870974
949	0.120761713
950	0.1205565184
951	0.1204812698
952	0.1203144203
953	0.1202740673
954	0.1202269485
955	0.1200607004
956	0.1200265448
957	0.1198908124
958	0.1198737724
959	0.1197250532
960	0.1196669242
961	0.1195411264
962	0.1195116321
963	0.1193529299
964	0.1191691837
965	0.1191497549
966	0.1190396814
967	0.1189179981
968	0.1188832832
969	0.1186804644
970	0.1185812603
971	0.1184021699
972	0.1183474778
973	0.1183461051
974	0.1181445362
975	0.1179386268
976	0.1178356662
977	0.1176374134
978	0.1176031635
979	0.117496558
980	0.1174387785
981	0.1172912688
982	0.1172649762
983	0.1172396128
984	0.1171178216
985	0.1170402438
986	0.117001396
987	0.1168948018
988	0.1168119615
989	0.1167147698
990	0.1166877071
991	0.1166648658
992	0.1165409367
993	0.1164200081
994	0.1160960737
995	0.1160397972
996	0.1159181578
997	0.1159087413
998	0.1158373904
999	0.1156812837
1000	0.1154821559
1001	0.115421521
1002	0.1153362938
1003	0.1152007221
1004	0.1151026408
1005	0.1148064112
1006	0.1146818868
1007	0.1146080652
1008	0.1145868304
1009	0.1145115656
1010	0.1144956342
1011	0.1144039312
1012	0.1144024976
1013	0.1141910654
1014	0.1141631309
1015	0.1141048347
1016	0.1140774193
1017	0.1140381359
1018	0.1139687214
1019	0.1137785524
1020	0.1136894796
1021	0.1136820062
1022	0.1136162347
1023	0.1135589249
1024	0.1134522241
1025	0.1133231945
1026	0.113244545
1027	0.1130175049
1028	0.1130015368
1029	0.1129458738
1030	0.1129205815
1031	0.1128489791
1032	0.1127765398
1033	0.1126067764
1034	0.1124464837
1035	0.1123479058
1036	0.1122540915
1037	0.11214445
1038	0.1121107332
1039	0.1119820729
1040	0.1119604851
1041	0.1119164125
1042	0.111803884
1043	0.1115218029
1044	0.1114800422
1045	0.1112603555
1046	0.1112389085
1047	0.1111811198
1048	0.1111111675
1049	0.1109171663
1050	0.1108291801
1051	0.1106355654
1052	0.1105104699
1053	0.1103087706
1054	0.1102794711
1055	0.110131081
1056	0.1099021389
1057	0.1098636421
1058	0.1097193182
1059	0.1094528115
1060	0.1094228533
1061	0.1093451099
1062	0.1090756265
1063	0.1090408036
1064	0.108899241
1065	0.1088737707
1066	0.1088556118
1067	0.1087525379
1068	0.1085988208
1069	0.1085772364
1070	0.1083856472
1071	0.1082366424
1072	0.1081146248
1073	0.1080353971
1074	0.1079605484
1075	0.1078651631
1076	0.1078298413
1077	0.1077574917
1078	0.107732105
1079	0.1076536541
1080	0.1075896911
1081	0.1074141819
1082	0.1073354691
1083	0.1072687863
1084	0.1071005355
1085	0.1068746968
1086	0.1068249807
1087	0.106757558
1088	0.1064993714
1089	0.1064191416
1090	0.1061871214
1091	0.1059888264
1092	0.1059448212
1093	0.1058705376
1094	0.1056958675
1095	0.1055158894
1096	0.105376428
1097	0.1052255669
1098	0.1051549437
1099	0.1050782508
1100	0.1050598038
1101	0.1049629975
1102	0.1049389532
1103	0.1048939891
1104	0.1048016926
1105	0.1047155668
1106	0.1045324137
1107	0.1044349365
1108	0.1043849259
1109	0.1042166042
1110	0.1040809195
1111	0.1039086535
1112	0.1036830716
1113	0.1036393856
1114	0.1035165894
1115	0.1033530961
1116	0.1033094581
1117	0.1032642607
1118	0.103173796
1119	0.1031123532
1120	0.1030383853
1121	0.1029655669
1122	0.1028499141
1123	0.1026109435
1124	0.1025574011
1125	0.102505571
1126	0.1024893145
1127	0.1024605592
1128	0.1021539353
1129	0.1020446924
1130	0.1018103442
1131	0.1017700754
1132	0.10176853
1133	0.1017410635
1134	0.1015671595
1135	0.1014731048
1136	0.1012098516
1137	0.1011494658
1138	0.1010248689
1139	0.1007359845
1140	0.1005242596
1141	0.1003366293
1142	0.1002587978
1143	0.100235237
1144	0.10022417
1145	0.1002040189
1146	0.09998138971
1147	0.09985978702
1148	0.09957162197
1149	0.09950195659
1150	0.09941830356
1151	0.09938200761
1152	0.09929078175
1153	0.09923985228
1154	0.0991559072
1155	0.09907142374
1156	0.09892075944
1157	0.09883826032
1158	0.09882128842
1159	0.09875830391
1160	0.09869465448
1161	0.09859297541
1162	0.09858141929
1163	0.09824185919
1164	0.09822504941
1165	0.09809272937
1166	0.09802567931
1167	0.09795062888
1168	0.09792235769
1169	0.09787004925
1170	0.09775681129
1171	0.09774094475
1172	0.09773733064
1173	0.09767221218
1174	0.09764715775
1175	0.09750468826
1176	0.09746793738
1177	0.09740244646
1178	0.09738984649
1179	0.09720213474
1180	0.09707510085
1181	0.0970608487
1182	0.09703521742
1183	0.09701387758
1184	0.09691051771
1185	0.09690012384
1186	0.09686389154
1187	0.09672261348
1188	0.09671322143
1189	0.09667495597
1190	0.09653101779
1191	0.09646733564
1192	0.0964497805
1193	0.09641598956
1194	0.09629213926
1195	0.09622842063
1196	0.09608891869
1197	0.09603068983
1198	0.09589763142
1199	0.0957909732
1200	0.09578958691
1201	0.09573888126
1202	0.09567771212
1203	0.09565954791
1204	0.09562477327
1205	0.09558646389
1206	0.0955098286
1207	0.09541670973
1208	0.09539354452
1209	0.09531729742
1210	0.0952400182
1211	0.09510724958
1212	0.09505949522
1213	0.09489283169
1214	0.09487394511
1215	0.09483162231
1216	0.09457687669
1217	0.09454432662
1218	0.09436066815
1219	0.09433965264
1220	0.09423376815
1221	0.09421422967
1222	0.09411595686
1223	0.09407210598
1224	0.09403374969
1225	0.09390325991
1226	0.09389287699
1227	0.09385664837
1228	0.09361436748
1229	0.09345023615
1230	0.09343616742
1231	0.09333386586
1232	0.09327857826
1233	0.09316034627
1234	0.09304743525
1235	0.09270075302
1236	0.0926492154
1237	0.09260368417
1238	0.09255985153
1239	0.09226864465
1240	0.09224308351
1241	0.09221678604
1242	0.09218002894
1243	0.09213612781
1244	0.09203391922
1245	0.09195449307
1246	0.09191515781
1247	0.09184577257
1248	0.09180386128
1249	0.09177483066
1250	0.0917193715
1251	0.09167929015
1252	0.09148297999
1253	0.09135100337
1254	0.0912061871
1255	0.09108277918
1256	0.09092687345
1257	0.09091257564
1258	0.09084444753
1259	0.09081321641
1260	0.09075823736
1261	0.09066336171
1262	0.09055900577
1263	0.0904204711
1264	0.09036199299
1265	0.09027471967
1266	0.0901833986
1267	0.0900476647
1268	0.0900099701
1269	0.08993972092
1270	0.08985022044
1271	0.08972607337
1272	0.08967207104
1273	0.08966044296
1274	0.08960833363
1275	0.08958326889
1276	0.08957043863
1277	0.08947719214
1278	0.08933141833
1279	0.08928698109
1280	0.08923536986
1281	0.08920232278
1282	0.08913579454
1283	0.08896953399
1284	0.0888033233
1285	0.08874668338
1286	0.0886207397
1287	0.08852447866
1288	0.08851664031
1289	0.0884940862
1290	0.08842421977
1291	0.08839307959
1292	0.08837136911
1293	0.08834407421
1294	0.08830283002
1295	0.08830111476
1296	0.08818343269
1297	0.08817063272
1298	0.08802689131
1299	0.08799663008
1300	0.08790248063
1301	0.08789302854
1302	0.0877969842
1303	0.08778702589
1304	0.08768855319
1305	0.08755997969
1306	0.08754870743
1307	0.08745456684
1308	0.08735646311
1309	0.08727231495
1310	0.08721871758
1311	0.08721753677
1312	0.08706886585
1313	0.08704823815
1314	0.08695396315
1315	0.08690744519
1316	0.08687840511
1317	0.08685948548
1318	0.08671426654
1319	0.08671366969
1320	0.0866207377
1321	0.08662033273
1322	0.08661208703
1323	0.08649808364
1324	0.08646239127
1325	0.0863635251
1326	0.08627910501
1327	0.08625152455
1328	0.0861290078
1329	0.08611414099
1330	0.08608892906
1331	0.08595287514
1332	0.0858394652
1333	0.08567796269
1334	0.08566994704
1335	0.08564730146
1336	0.08558126143
1337	0.08556537386
1338	0.08552616705
1339	0.08548107834
1340	0.08536585692
1341	0.08535125412
1342	0.08533663776
1343	0.08528829233
1344	0.08526429626
1345	0.08521384595
1346	0.08510218234
1347	0.08503839523
1348	0.08480056032
1349	0.08465554623
1350	0.08456926134
1351	0.0845373971
1352	0.0845281795
1353	0.08448499458
1354	0.08444082
1355	0.08435833491
1356	0.08422397505
1357	0.08421175354
1358	0.08414908546
1359	0.08404936078
1360	0.08391500401
1361	0.08372750889
1362	0.08360068469
1363	0.08356545176
1364	0.08354022773
1365	0.08341990876
1366	0.0833858947
1367	0.08330134685
1368	0.08325246332
1369	0.08304255627
1370	0.08298913116
1371	0.08296951817
1372	0.08293416585
1373	0.08286558045
1374	0.08274205293
1375	0.08270353188
1376	0.08267939212
1377	0.08262826443
1378	0.08260563018
1379	0.08252255365
1380	0.08245176074
1381	0.08240509978
1382	0.08229334586
1383	0.08228169949
1384	0.08226155029
1385	0.08223637051
1386	0.08222594678
1387	0.08221535443
1388	0.08219704665
1389	0.08213895347
1390	0.08201777514
1391	0.08199162611
1392	0.08198099258
1393	0.08185151533
1394	0.08173816416
1395	0.08166439214
1396	0.08163205647
1397	0.08158693918
1398	0.08156601331
1399	0.0814885117
1400	0.08146453481
1401	0.08144561978
1402	0.08134678498
1403	0.08133537904
1404	0.0813172642
1405	0.081235642
1406	0.08119203969
1407	0.0811338122
1408	0.08096448955
1409	0.08088642019
1410	0.08082458764
1411	0.08072206605
1412	0.08063356446
1413	0.08049203253
1414	0.08040246824
1415	0.08032867914
1416	0.08028140857
1417	0.08021634724
1418	0.08018551854
1419	0.08006695771
1420	0.08005251807
1421	0.07997748655
1422	0.07990334569
1423	0.0798753294
1424	0.07971373331
1425	0.07968899717
1426	0.07959549311
1427	0.07959472036
1428	0.07952993892
1429	0.07941137344
1430	0.07939505893
1431	0.07937684238
1432	0.07933571383
1433	0.07931922685
1434	0.07929830404
1435	0.07924863544
1436	0.07923586559
1437	0.07921839609
1438	0.07916719693
1439	0.07914521441
1440	0.07905739298
1441	0.0789038378
1442	0.07885815522
1443	0.07882280912
1444	0.07873683976
1445	0.07869227978
1446	0.07863260238
1447	0.07857822659
1448	0.07849019339
1449	0.07839685913
1450	0.07834642854
1451	0.07821615546
1452	0.07819465919
1453	0.07819016943
1454	0.07814314619
1455	0.07799349983
1456	0.07790495891
1457	0.07782854774
1458	0.07780939876
1459	0.0777214152
1460	0.07765348525
1461	0.07759558681
1462	0.07755401149
1463	0.07751638977
1464	0.07745727794
1465	0.07735226428
1466	0.07727946932
1467	0.07712902198
1468	0.07709198064
1469	0.07698615756
1470	0.07688467764
1471	0.07681427623
1472	0.07678037651
1473	0.07677999623
1474	0.07675550591
1475	0.07666360092
1476	0.07664351929
1477	0.07662839077
1478	0.07650931182
1479	0.07650549513
1480	0.07646276469
1481	0.07639506773
1482	0.07638716173
1483	0.07631476284
1484	0.07630937891
1485	0.07627013725
1486	0.07624301364
1487	0.07623783938
1488	0.07613369677
1489	0.07605067366
1490	0.0760351365
1491	0.07583215762
1492	0.07577820754
1493	0.07575709301
1494	0.07573789352
1495	0.07557070403
1496	0.07547838775
1497	0.07545947794
1498	0.07542549334
1499	0.07537955626
